Name 1,Country,Street,Telephone ,Name 1,Tax Number 1,National ID,Distribution Channel,Division,Sales Office,Sales District,Route Description,Total Active Cust.,latitude,longitude,"Region (State, Province, County)","Please analyze the data and state if there is any data issue or required cleansing ? If yes please state them below in points and what is the next steps which should to be taken accordignly.
Mandatory to state the technique which used for analysing the data ."
Taawon Café,EG,البنزينه القديمه,01220687598,سلسله التعاون,321-874-879,,,,,,TELES-Amria,1,30.93245088,29.69671438,Greater Cairo,
Hassan Mohamed,EG,الشهيد عبدالرحمن,0126899458,حسن عبد الحميد,,,,,,,TELES-Hurghada,1,27.18372555,33.82100997,Greater Cairo,
Farag Kiosk,EG,مساكن مصنع السكر,01234567899,كشك عبد الزاهر,,,Scrap,Scrap,,West Cairo,TELES-Hurghada,1,27.180494,33.807566,Giza,
Shabaan Mohamed,EG,الموقف الجديد,01220687598,مقهي الموقف,,2547897125797820,,,,,TELES-Heliopolis,1,30.1128268,31.3997904,Greater Cairo,
Café,EG,ش الكوبري,01220687598,مقهي,,,,,,,TELES-Sohag,1,26.3390716,31.7377196,,
MAXIME,EG,صلاح الدين - خالد بن الوليد,48795478910,MAXIME,,,,,,,TELES-Assiout,1,27.062403,31.027911,,
Mohamed Ahmed Mohamed,EG,السوق,01265478997,ام كلثوم,789654789,,,,,,DSP-منافذ خاصة وسط,1,30.044531,31.248146,Greater Cairo,
COSTA,EG,ش الدولي,01123548895,COSTA,,,,,,,DSP-منافذ خاصة وسط,1,30.044531,31.248146,Greater Cairo,
Bashayeer Café,EG,البحيرات,01026478954,بشاير,,87897125797820,Direct Sales,Coca-Cola,Qualuob,Qualuob,الطور_SOut,1,27.86046300000000,34.30193100000000,Cairo,
Watania,EG,عبدالحميد طه,01568797795,الوطنيه,,,Indirect Sales,Coca-Cola,Qualuob,Qualuob,DSP-منافذ خاصة وسط 2,1,30.035798,31.234038,Cairo,
Hamada Ahmed,EG,المنشيه,01234587924,حماده احمد,,,Indirect Sales,Coca-Cola,Qualuob,Qualuob,DSP-خط الساحل,1,29.98493279222420,32.51067132850530,Cairo,
Dardasha Café,EG,المنشيه,00489978996,دردشه كافيه,877912335,,Indirect Sales,Coca-Cola,Qualuob,Qualuob,الطور_SOut,1,28.216808,33.629292,Cairo,
NILE VALLEY HOTEL,EG,البحيرات,01002687999,NILE VALLEY HOTEL,,,Indirect Sales,Coca-Cola,Qualuob,Qualuob,الطور_SOut,1,28.23302,33.62329,Cairo,
